Designator,Footprint,Quantity,Value,LCSC Part #
C25,0402,1,"100nF, 16v",C1525
C26,0603,1,"4.7uF, 16v",C19666
C27,1206,1,"22uf, 16v CL31A226MOCLNN",C159758
C28,1206,1,"22uf, 32v",C159758
C40,0603,1,"100nF, 16v",C14663
C7,0805,1,"10uF, 16v",C15850
"D2, D3",0402,2,GSDH3005,C2837790
D4,0603,1,2.6~3.1 Fv Green 5ma,C3028858
"J1, J3, J6, J7",Keystone_3579,4,Keystone 3579,
J10,USB_C_G-Switch_GT-USB-7025-JLCPCBv,1,G-Switch-GT-USB-7025,C963213
J11,PinSocket_1x04_P1.27mm_Vertical,1,1.27mm 4 pin socket,
"J4, J5, J8, J9",Keystone_3569_half,4,Keystone 3569,
L3,1008,1,"2.2uH, WIP322512A-2R2MLDG",C5832372
"R11, R29",0402,2,10k,C25744
"R19, R33",0402,2,5.1k,C25905
R2,0805,1,2ohm,C17521
R25,0402,1,80.6 ohm,C185392
"R26, R27, R28",0402,3,120 ohm,C25079
U2,TSOT-23-6,1,AP63203WU,C780769
U5,SOT-583-8,1,THVD1420DRLR,
U6,QFN-28-1EP_4x4mm_P0.4mm_EP2.8x2.8mm,1,CH32X035G8U6,C7437027
