Designator,Mid X,Mid Y,Rotation,Layer
C25,115.351444,-121.915006,270.0,bottom
C26,116.551444,-121.615006,270.0,bottom
C27,132.0,-123.9,180.0,bottom
C28,137.725,-120.9,270.0,bottom
C40,133.7,-118.5,0.0,bottom
C7,114.75,-125.175,90.0,top
D2,140.96,-126.7,180.0,top
D3,119.6,-127.4,0.0,top
D4,137.2,-112.7,180.0,top
J1,147.199999,-113.65,180.0,top
J10,126.15,-127.43500000000002,0.0,top
J11,130.595,-114.9,90.0,top
J12,126.275,-123.0,270.0,top
J3,110.25,-113.65,180.0,top
J4,150.95,-112.05,0.0,top
J5,113.95,-112.05,0.0,top
J6,147.200001,-113.65,180.0,bottom
J7,110.25,-113.65,180.0,bottom
J8,150.95,-112.05,0.0,bottom
J9,113.95,-112.05,0.0,bottom
L3,130.8,-120.8,270.0,bottom
R11,110.925,-120.7,180.0,bottom
R19,129.225,-123.85,180.0,top
R2,115.5125,-127.875,0.0,top
R25,134.6,-112.6,0.0,top
R26,122.351444,-122.615006,90.0,bottom
R27,123.351444,-123.515006,270.0,bottom
R28,122.351444,-124.515006,90.0,bottom
R29,111.025,-119.275,90.0,bottom
R33,122.3,-124.15,0.0,top
U2,134.3,-121.0,270.0,bottom
U5,120.451444,-123.615006,180.0,bottom
U6,112.051444,-124.415006,270.0,bottom
