Comment,Designator,Footprint,LCSC,Quantity
100k,"R1,R11,R12,R13,R14,R3",R_0402_1005Metric,C25741,6
100nF,"C11,C12,C2,C3,C7,C8",C_0402_1005Metric,C307331,6
100ohm,"R2,R4,R5,R6",R_0402_1005Metric,C25076,4
10ohm,R10,R_0402_1005Metric,C25077,1
10uF,"C1,C10,C9",C_0805_2012Metric,C440198,3
15v Zener BZT52C15,"D2,D7",D_SOD-123,C2932746,2
1uF,C6,C_0603_1608Metric,C15849,1
22ohm,"R17,R18,R19,R20",R_0402_1005Metric,C25092,4
27k,R9,R_0402_1005Metric,C25771,1
4.7k,R8,R_0402_1005Metric,C25900,1
47nF,C5,C_0603_1608Metric,C1622,1
4mOhm,R7,R_2512_6332Metric,C7420003,1
5.1k,"R15,R16",R_0402_1005Metric,C25905,2
BAV70,"D1,D3",SOT-23,C68978,2
BSS138,"Q2,Q3,Q4,Q6,Q7",SOT-23,C7420339,5
FDD86367,Q1,TO-252-2,C903589,1
Harwin S7091-42R,"J1,J2,J3,J4,J5,J6,J7,J8,J9",HARWIN_S7091-42R,C21394879,9
NUP2301,"D8,D9",SOT-363_SC-70-6,C708740,2
SMBJ26A,"D5,D6",D_SMB,C123820,2
SP40P04TH,Q5,TO-252-2,C41355036,1
TPS2491DGSR,U1,VSSOP-10_3x3mm_P0.5mm,C273636,1
USB_C_Receptacle_USB2.0_16P,J12,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,1
dc=24,J11,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,C430601,1
Data2 in,J10,PinSocket_1x02_P2.54mm_Vertical,,1
