Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,114.7,-105.125,180.0,top
C10,10uF,C_0805_2012Metric,121.6,-101.35,180.0,top
C11,100nF,C_0402_1005Metric,127.6875,-81.82,90.0,top
C12,100nF,C_0402_1005Metric,136.1875,-82.17,90.0,top
C2,100nF,C_0402_1005Metric,123.025,-85.1,90.0,top
C3,100nF,C_0402_1005Metric,138.95,-85.25,90.0,top
C5,47nF,C_0603_1608Metric,133.975,-102.675,90.0,top
C6,1uF,C_0603_1608Metric,114.75,-93.55,180.0,top
C7,100nF,C_0402_1005Metric,123.129764,-91.974761,90.0,top
C8,100nF,C_0402_1005Metric,134.1,-98.675,0.0,top
C9,10uF,C_0805_2012Metric,145.8,-94.775,-90.0,top
D1,BAV70,SOT-23,133.65,-83.825,180.0,top
D2,15v Zener BZT52C15,D_SOD-123,115.8,-85.825,180.0,top
D3,BAV70,SOT-23,129.2125,-83.375,0.0,top
D5,SMBJ26A,D_SMB,149.4,-95.725,-90.0,top
D6,SMBJ26A,D_SMB,122.275,-104.775,180.0,top
D7,15v Zener BZT52C15,D_SOD-123,135.2,-105.375,0.0,top
D8,NUP2301,SOT-363_SC-70-6,123.4,-82.625,90.0,top
D9,NUP2301,SOT-363_SC-70-6,139.375,-82.825,270.0,top
J1,Harwin S7091-42R,HARWIN_S7091-42R,111.179167,-76.825,0.0,top
J10,Data2 in,PinSocket_1x02_P2.54mm_Vertical,146.255,-116.5,-90.0,top
J11,dc=24,TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,125.3,-112.9075,180.0,top
J12,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,113.648719,-112.910696,0.0,top
J2,Harwin S7091-42R,HARWIN_S7091-42R,150.379167,-76.825,0.0,top
J3,Harwin S7091-42R,HARWIN_S7091-42R,116.079167,-76.825,0.0,top
J4,Harwin S7091-42R,HARWIN_S7091-42R,145.479167,-76.825,0.0,top
J5,Harwin S7091-42R,HARWIN_S7091-42R,120.979167,-77.825,0.0,top
J6,Harwin S7091-42R,HARWIN_S7091-42R,125.879167,-77.825,0.0,top
J7,Harwin S7091-42R,HARWIN_S7091-42R,140.579167,-77.825,0.0,top
J8,Harwin S7091-42R,HARWIN_S7091-42R,135.679167,-77.825,0.0,top
J9,Harwin S7091-42R,HARWIN_S7091-42R,130.779167,-77.825,0.0,top
Q1,FDD86367,TO-252-2,140.215,-94.425,0.0,top
Q2,BSS138,SOT-23,126.0,-86.9,270.0,top
Q3,BSS138,SOT-23,136.925,-87.225,270.0,top
Q4,BSS138,SOT-23,117.229764,-91.504761,0.0,top
Q5,SP40P04TH,TO-252-2,135.8,-112.535,90.0,top
Q6,BSS138,SOT-23,120.8,-86.4,270.0,top
Q7,BSS138,SOT-23,141.825,-87.2,270.0,top
R1,100k,R_0402_1005Metric,135.125,-82.225,90.0,top
R10,10ohm,R_0402_1005Metric,134.015,-100.4,0.0,top
R11,100k,R_0402_1005Metric,121.415708,-92.690087,90.0,top
R12,100k,R_0402_1005Metric,120.881288,-90.897,0.0,top
R13,100k,R_0402_1005Metric,120.184263,-93.180283,90.0,top
R14,100k,R_0402_1005Metric,138.725,-106.785,-90.0,top
R15,5.1k,R_0402_1005Metric,115.223719,-108.060696,90.0,top
R16,5.1k,R_0402_1005Metric,112.155016,-107.962116,90.0,top
R17,22ohm,R_0402_1005Metric,120.8,-83.375,90.0,top
R18,22ohm,R_0402_1005Metric,141.825,-84.175,90.0,top
R19,22ohm,R_0402_1005Metric,125.975,-83.95,90.0,top
R2,100ohm,R_0402_1005Metric,124.225,-84.975,-90.0,top
R20,22ohm,R_0402_1005Metric,136.9,-84.275,90.0,top
R3,100k,R_0402_1005Metric,126.625,-81.875,90.0,top
R4,100ohm,R_0402_1005Metric,119.45,-84.475,-90.0,top
R5,100ohm,R_0402_1005Metric,135.15,-85.3,-90.0,top
R6,100ohm,R_0402_1005Metric,140.625,-85.275,-90.0,top
R7,4mOhm,R_2512_6332Metric,128.991548,-94.775173,0.0,top
R8,4.7k,R_0402_1005Metric,131.775,-105.275,-90.0,top
R9,27k,R_0402_1005Metric,130.35,-104.725,0.0,top
U1,TPS2491DGSR,VSSOP-10_3x3mm_P0.5mm,131.075,-100.7,0.0,top
